Category: All categories,,,
,,,
Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
North Carolina,24%,63%,13%
Indiana,24%,64%,12%
Kentucky,23%,64%,13%
South Carolina,22%,66%,12%
Tennessee,22%,65%,13%
Alabama,25%,62%,13%
Delaware,25%,62%,13%
West Virginia,24%,63%,13%
Pennsylvania,23%,61%,16%
Ohio,22%,65%,13%
Florida,24%,61%,15%
Illinois,23%,62%,15%
Connecticut,22%,63%,15%
Utah,20%,67%,13%
Georgia,23%,63%,14%
Arkansas,21%,67%,12%
Oklahoma,19%,69%,12%
Texas,21%,65%,14%
Nevada,20%,67%,13%
Kansas,20%,66%,14%
Rhode Island,22%,65%,13%
Arizona,20%,65%,15%
Maryland,23%,63%,14%
Michigan,19%,68%,13%
Idaho,19%,68%,13%
Missouri,19%,67%,14%
Virginia,22%,64%,14%
New Jersey,23%,61%,16%
Wisconsin,21%,65%,14%
Mississippi,19%,69%,12%
California,20%,65%,15%
Louisiana,20%,67%,13%
Iowa,19%,68%,13%
North Dakota,19%,68%,13%
Nebraska,19%,68%,13%
Colorado,19%,67%,14%
New Mexico,19%,67%,14%
Oregon,18%,68%,14%
New York,20%,64%,16%
Washington,17%,69%,14%
Massachusetts,21%,62%,17%
Minnesota,17%,69%,14%
New Hampshire,18%,68%,14%
South Dakota,14%,76%,10%
Wyoming,16%,71%,13%
Maine,17%,70%,13%
Vermont,17%,69%,14%
Montana,14%,75%,11%
Hawaii,15%,71%,14%
Alaska,16%,70%,14%
District of Columbia,17%,67%,16%
