Flavor,Scoops Sold,Price Per Scoop,Total Revenue
Vanilla,42,$2.50,$105.00
Chocolate,38,$2.50,$95.00
Strawberry,27,$2.50,$67.50
Mint Chip,31,$2.75,$85.25
Rocky Road,19,$2.75,$52.25
Butter Pecan,14,$2.75,$38.50
Mango Sorbet,22,$3.00,$66.00
Cookie Dough,35,$3.00,$105.00
Flavor,Scoops Sold,Price Per Scoop,Total Revenue
Vanilla,42,$2.50,$105.00
Chocolate,38,$2.50,$95.00
Strawberry,27,$2.50,$67.50
Mint Chip,31,$2.75,$85.25
Rocky Road,19,$2.75,$52.25
Butter Pecan,14,$2.75,$38.50
Mango Sorbet,22,$3.00,$66.00
Cookie Dough,35,$3.00,$105.00
